NodesVehiclek , 0,1,2,3,4,5,6,7,8,9,10,11,
VolumeCap , 81
WeightCap , 30 
EarlyTimeWindow ,0.00,0.00,88.00,88.12,47.00,54.72,14.00,21.42,6.00,11.08,72.00,72.83,
LateTimeWindow , 144.00,144.00,100.00,100.12,59.00,66.72,26.00,33.42,18.00,23.08,84.00,84.83,
WeightLoad , 3,2,12,7,11,
VolumeLoad , 10,5,27,22,25,
PickupNodes , 27,15,4,5,4,
DeliveryNodes , 21,7,23,45,18,
StartDepot , 16 
EndDepot , 51 
NumberOfCities, 51 
Times: 
0 , 6.07 , 9.12 , 4.47 , 0.57 , 0.72 , 2.32 , 2.77 , 4.88 , 5.82 , 6.87 , 8.58 , 6.7 , 7.88 , 9.08 , 4.48 , 2.15 , 3.33 , 7.58 , 7.48 , 7.4 , 6.87 , 7.9 , 6.28 , 6.43 , 5.22 , 6.28 , 5.38 , 2.77 , 6.87 , 3.48 , 2.6 , 0.22 , 3.85 , 0.38 , 6.7 , 7.88 , 5.3 , 3.93 , 2.27 , 2.8 , 9.37 , 3.07 , 4.75 , 5.62 , 8.28 , 9.08 , 9.07 , 2.35 , 8.4 , 0 , 
5.95 , 0 , 3.8 , 5.93 , 5.52 , 6.18 , 4.63 , 3.32 , 0.18 , 2.1 , 2.53 , 3.25 , 0.75 , 2.93 , 4.12 , 3.17 , 6.03 , 6.13 , 2.37 , 2.42 , 2.17 , 2.53 , 3.1 , 0.95 , 2.17 , 0.83 , 0.97 , 2.5 , 3.32 , 3.98 , 3.75 , 3.8 , 5 , 5.33 , 4.77 , 0.75 , 2.57 , 0.5 , 2.17 , 5 , 4.42 , 6.47 , 3.95 , 3.57 , 3.68 , 4.5 , 4.8 , 4.1 , 6.73 , 5.52 , 0 , 
9.12 , 3.83 , 0 , 8.7 , 8.67 , 9.35 , 7.75 , 6.47 , 4.33 , 4 , 2.77 , 0.98 , 3.532 , 2.73 , 3.93 , 5.45 , 9.2 , 8.92 , 0.85 , 2.23 , 0.95 , 2.77 , 2.9 , 2.88 , 3.38 , 4.05 , 2.85 , 4.42 , 6.47 , 5.9 , 6.52 , 6.95 , 8.15 , 8.1 , 7.93 , 3.2 , 0.28 , 4.6 , 5.32 , 7.77 , 7.18 , 8.1 , 7.07 , 5.83 , 5.6 , 5.32 , 5.03 , 3.9 , 9.88 , 7.13 , 0 , 
4.45 , 6.03 , 8.65 , 0 , 3.42 , 4.1 , 4.15 , 3.32 , 4.85 , 4.73 , 6.37 , 8.1 , 6.67 , 7.4 , 8.6 , 3.37 , 3.6 , 0.83 , 7.12 , 6.98 , 6.93 , 6.37 , 7.42 , 5.8 , 5.3 , 5.18 , 5.82 , 4.27 , 3.32 , 5.75 , 2.35 , 2.93 , 3.4 , 0.63 , 3.52 , 6.67 , 7.42 , 4.47 , 4.05 , 2.43 , 2.13 , 7.23 , 3.92 , 3.63 , 4.5 , 7.17 , 7.93 , 8.57 , 4.63 , 7.28 , 0 , 
0.52 , 5.62 , 8.67 , 3.42 , 0 , 0.88 , 0.85 , 2.3 , 4.42 , 5.32 , 6.4 , 8.12 , 6.25 , 7.43 , 8.63 , 3.97 , 0.68 , 2.23 , 7.13 , 7.03 , 6.95 , 6.4 , 7.45 , 5.82 , 5.88 , 4.77 , 5.83 , 4.85 , 2.3 , 6.35 , 2.95 , 2.15 , 0.68 , 2.8 , 0.93 , 6.25 , 7.43 , 4.85 , 3.48 , 0.67 , 2.22 , 8.83 , 2.62 , 4.23 , 5.08 , 7.75 , 8.53 , 8.62 , 0.43 , 7.88 , 0 , 
0.72 , 6.27 , 9.32 , 4.07 , 0.87 , 0 , 2.52 , 2.97 , 5.08 , 5.98 , 7.07 , 8.78 , 6.9 , 8.1 , 9.3 , 4.62 , 0.25 , 2.9 , 7.8 , 7.68 , 7.6 , 7.07 , 8.1 , 6.48 , 6.55 , 5.43 , 6.48 , 5.52 , 2.97 , 7 , 3.6 , 2.82 , 0.33 , 3.45 , 0.6 , 6.9 , 8.08 , 5.5 , 4.15 , 2.32 , 2.87 , 9.48 , 3.27 , 4.88 , 5.75 , 8.42 , 9.18 , 9.27 , 0.88 , 8.53 , 0 , 
2.3 , 4.7 , 7.75 , 4.17 , 0.87 , 2.53 , 0 , 0.33 , 3.52 , 4.45 , 5.48 , 7.22 , 5.33 , 6.52 , 7.72 , 3.38 , 2.38 , 3.25 , 6.22 , 6.12 , 6.03 , 5.48 , 6.53 , 4.92 , 5.07 , 3.85 , 4.92 , 4.28 , 0.33 , 5.77 , 2.38 , 0.52 , 0.35 , 3.55 , 0.12 , 5.33 , 6.52 , 3.93 , 2.57 , 0.7 , 2.17 , 8.27 , 0.77 , 3.65 , 4.52 , 7.18 , 7.72 , 7.7 , 3.08 , 7.3 , 0 , 
2.75 , 3.42 , 6.47 , 3.35 , 2.32 , 2.98 , 0.32 , 0 , 2.22 , 3.17 , 4.2 , 5.92 , 4.05 , 5.23 , 6.43 , 2.45 , 2.83 , 3.4 , 4.93 , 4.82 , 4.75 , 4.2 , 5.25 , 3.62 , 3.78 , 2.58 , 3.63 , 3.35 , 0 , 4.85 , 0.45 , 0.6 , 0.78 , 2.73 , 0.57 , 4.05 , 5.22 , 2.65 , 0.28 , 0.87 , 0.45 , 7.33 , 0.63 , 2.73 , 3.58 , 6.13 , 6.42 , 6.4 , 3.53 , 6.38 , 0 , 
4.85 , 0.27 , 4.32 , 4.85 , 4.42 , 5.08 , 3.5 , 2.22 , 0 , 0.08 , 2.05 , 3.77 , 0.9 , 3.08 , 4.28 , 2.08 , 4.95 , 5.05 , 2.78 , 2.68 , 2.6 , 2.05 , 3.1 , 0.47 , 0.68 , 0.38 , 0.48 , 0.48 , 2.22 , 2.97 , 2.65 , 2.7 , 3.9 , 4.23 , 3.67 , 0.9 , 3.07 , 0.5 , 0.07 , 3.9 , 3.32 , 5.47 , 2.82 , 2.47 , 2.67 , 4 , 4.32 , 4.25 , 5.63 , 4.5 , 0 , 
5.8 , 2.2 , 4 , 4.72 , 5.3 , 5.97 , 4.43 , 3.15 , 0.1 , 0 , 0.73 , 3.467 , 2.8 , 2.75 , 3.95 , 0.45 , 5.6 , 4.92 , 2.47 , 2.35 , 2.282 , 0.73 , 2.77 , 0.17 , 0.65 , 0.35 , 0.17 , 0.42 , 3.15 , 0.92 , 2.52 , 3.4 , 4.83 , 4.1 , 4.62 , 2.467 , 2.77 , 0.6 , 2 , 3.78 , 3.2 , 4.4 , 3.75 , 0.85 , 0.6 , 3 , 3.3 , 3.93 , 6.52 , 3.45 , 0 , 
